artist,couplet,song,url
Drake,"Long as I got me some heat through the winter<br>Drake known as a pro, I'mma teach you beginners",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,Bout to ink with a major like sheets through a printer<br>For features ya'll better get me while its cheaper than dinner,dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,Cause me and 1da trying to get at your girl<br>If you see her tell this nigga got some beats I'mma sell her,dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,"Check, the verses I'm writing you might wanna learn it<br>You hatin my song but your wife wanna burn it",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,"So now you at the store for some blank CDs<br>You can't see me, for your sake might wanna return it",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,"Cause, if you bring them discs home to ya girl, she'll forget you<br>And I'll be the only one she concerned with",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,To the people that ignored me before this<br>This one is for you as a song re-recorded,dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,"Funny thing is, you just notice me now<br>But I was here along your vision's just been distorted",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,The waiting is over I think music need it<br>Drake cuttin his records without gettin weeded,dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,"People in the South want it chopped and screwed, I got this dude<br>They expectations I'mma exceed it",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,Like a singer with only backgrounds ya'll record it<br>When it's done ya lyrics tend to mislead shit,dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,"Finally here I'mma star with the timing<br>My swagger is chill, and my flow is reclining",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,"This for anybody that's searchin for cash<br>And purchase so fast, you only get the dough when you grindin",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,"And so I grind like I'm listening to all Wayne<br>My pain, you can experience through the rhyming, boy",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,"Two years ago, a friend of mine<br>Asked me to kick some new school lines",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,"And so I sent him a rhyme, it was fresh to death<br>Now not signing me is something that the rest regret",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,"Then I, hopped inside the Cadillac<br>The chauffeur drove off and we never came back",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,Southern Smoke {echo}<br>It's Southern Smoke baby!,moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,(Money) My man Nickelus F<br>(Money) Ho! It's Drake. Southern Smoke,moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,(Money) This is the remix right here<br>(Money) So if you got some (Money),moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,Put ya hands in the air<br>(Money) Southern Smoke,moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,"Now-a-days you sayin' that I should go Jermaine, I should go Pharrell<br>Either or my nigga, make sure you don't get shelled",moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,(Right) Make sure your money's right and they do a promotion well<br>So you could get checks cut like Benedict in Ocean's Twelve,moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,"This ain't Brad Pitt, I gotta admit<br>I'm sick of seeing chicks in that Louis V and that Plaid shit, cause it's a bad fit",moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,"They say my father lives through me, so this is just basically how my dad spit<br>I know my cash come quick when it's sunny",moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,You know a girl is special if I stick with her honey<br>If it wasn't for dummies chick would still have money,moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,"And if it wasn't for money Nick would still have Skummy<br>So, guess it's kinda like a gift and a curse",moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,"To jip money is easier than liftin' a purse<br>If you pick the wrong mother who'll snatch you, run for cover",moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,"A week later you might find ya click in a hearse, boy!<br>I, take time arrange that (Money)",moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,"Some, kill just to claim that (Money)<br>Switch countries exchange that (Money)",moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,"You cannot get jack for freeee<br>And my, proceeds and cash right (Money)",moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,"There's, no need to stash right (Money)<br>Got the same, 4 g's from last night (Money)",moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,"You cannot take that from meeeee, homie<br>I, take time arrange that (Money)",moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,"Some, kill just to claim that (Money)<br>Switch countries exchange that (Money)",moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,"You cannot get jack for freeee<br>And my, proceeds and cash right",moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,"There's, no need to stash right<br>Got the same, 4 g's from last night",moneyremix,http://www.azlyrics.com/lyrics/drake/moneyremix.html
Drake,"You cannot take that from meeeee, homieYo I wake up every morning, shower, gather my belongings<br>Yo I wake up every morning, shower, gather my belongings",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"Head to works, I get some breakfast 'cause, still a nigga yawning<br>From the night before, at the club I was up I'm tryna live",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"Only twenty two my nig, 'bout to be twenty three ya dig?<br>Yo I wake up every morning, shower, gather my belongings",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"Head to works, I get some breakfast 'cause, still a nigga yawning<br>From the night before, at the club I was up I'm tryna live",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"Only twenty two my nig, 'bout to be twenty three ya dig?<br>Time don't wait for none of us that's why I gotta chase my dreams",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"Make my momma proud so she can show off all her pearly teeth<br>And be half the man my dad was, I thank God he was in my life",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"Either I, need to make this music work or move from the Earth<br>I'm preachin' fire, need a choir, 'bout to take you all to church",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"My congregation bombed the nation with this HIP HOP<br>We in the race to fame, blowin' pass the PIT STOPS",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,I heard the prize was some chicks and a WRIST WATCH<br>And all you gotta do is go to jail or GET SHOT,am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,Yeah Nick cop but he ain't never get popped<br>How we gonna get pop fans? Give 'em a quick shot,am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,Now I get ya chick hot with my wrist watch<br>Yeah shorty drip drop when it tick tock,am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"It's kinda sick huh? Ay Jay, put it in the heart of Pickering<br>And tell them niggas this is NICK'S SPOT",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"They don't keep it fresh enough I got it zip locked<br>Saran wrap, anthrax, it make ya sick huh",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"I'm hot as fire wanna put me out with piss huh<br>It ain't as easy as it looks, we go through some shit",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"You cut us a check, then we go through some hits<br>Then you show us respect, then we'll say you legit",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"And this is the life that I lead from AM to PM<br>I'm tryna get that cash, then watch how tall it grows",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"Soon as we get the ass, we start callin' 'em hos<br>The concept you don't grasp, I'm guessin' you too old",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"And this is the life that I lead from AM to PM<br>Ayo I stay up every evening, write that shit that they believe in",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"DJs run it, they approach me, and it's praise I be receiving<br>From the night befo', at the club, fake I.D. my record spins",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"Got me dancin' right outside since these niggas won't let me in<br>Well guess again, slip around the back and get it crackin'",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"Hundred grand, Nickle F, that nigga's the next to win<br>Virgina go rep for him, and Memphis represent for me",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"To the tenth 10 degree, Tennekey, T Dot to the country ya'll<br>Orangemen and White Haven, an back up north to Montreal",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"I ain't ashamed, my city ain't on the map<br>Maybe they can bring they career back",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
